trace_idx,field_record,trace_number,source_x,source_y,receiver_x,receiver_y,receiver_elev_m,source_offset_m,pick_time_s,pick_quality,flag
0,40,0,434672.2,6478567.68,434686.76,6478556.8,1741.06,861.2261287260469,0.803,8.245858670088802,ok
1,41,0,434671.92,6478567.68,434686.76,6478556.8,1741.06,861.4862552591876,0.802,8.024539092146634,ok
2,42,0,434671.96,6478567.68,434686.76,6478556.8,1741.06,861.449093562956,0.803,8.138163456736175,ok
3,43,0,434672.04000000004,6478567.68,434686.76,6478556.8,1741.06,861.3747709333102,0.803,8.262462015263873,ok
4,40,0,434672.2,6478567.68,434678.88,6478555.5200000005,1756.3,861.2261287260469,0.808,8.491897220512303,ok
5,41,0,434671.92,6478567.68,434678.88,6478555.5200000005,1756.3,861.4862552591876,0.808,8.126450282681656,ok
6,42,0,434671.96,6478567.68,434678.88,6478555.5200000005,1756.3,861.449093562956,0.808,8.64435935686356,ok
7,43,0,434672.04000000004,6478567.68,434678.88,6478555.5200000005,1756.3,861.3747709333102,0.808,8.579727694468067,ok
8,40,0,434672.2,6478567.68,434671.36,6478554.24,1771.54,861.2261287260469,0.81,8.379832171113959,ok
9,41,0,434671.92,6478567.68,434671.36,6478554.24,1771.54,861.4862552591876,0.81,8.057290299105334,ok
10,42,0,434671.96,6478567.68,434671.36,6478554.24,1771.54,861.449093562956,0.81,8.565255233562901,ok
11,43,0,434672.04000000004,6478567.68,434671.36,6478554.24,1771.54,861.3747709333102,0.81,8.49821840564658,ok
12,40,0,434672.2,6478567.68,434664.04000000004,6478552.32,1786.78,861.2261287260469,0.8190000000000001,8.002577065746506,ok
13,41,0,434671.92,6478567.68,434664.04000000004,6478552.32,1786.78,861.4862552591876,0.8190000000000001,8.333848283155653,ok
14,42,0,434671.96,6478567.68,434664.04000000004,6478552.32,1786.78,861.449093562956,0.8190000000000001,8.201049963752334,ok
15,43,0,434672.04000000004,6478567.68,434664.04000000004,6478552.32,1786.78,861.3747709333102,0.8190000000000001,8.199532065292065,ok
16,473,0,434585.4,6478558.08,434582.60000000003,6478552.32,2228.75,945.7008812516799,1.0190000000000001,8.302341794407903,ok
17,474,0,434585.96,6478558.08,434582.60000000003,6478552.32,2228.75,945.1757322319528,1.0190000000000001,8.925875766182001,ok
18,475,0,434586.24,6478558.72,434582.60000000003,6478552.32,2228.75,944.6909886309285,1.0190000000000001,8.148843946374706,ok
19,473,0,434585.4,6478558.08,434584.60000000003,6478554.24,2243.9900000000002,945.7008812516799,1.024,9.035939149010003,ok
20,474,0,434585.96,6478558.08,434584.60000000003,6478554.24,2243.9900000000002,945.1757322319528,1.025,8.759773299321049,ok
21,475,0,434586.24,6478558.72,434584.60000000003,6478554.24,2243.9900000000002,944.6909886309285,1.025,8.908966287508028,ok
22,473,0,434585.4,6478558.08,434586.96,6478555.5200000005,2259.23,945.7008812516799,1.029,8.632456185043665,ok
23,474,0,434585.96,6478558.08,434586.96,6478555.5200000005,2259.23,945.1757322319528,1.029,8.210581584150612,ok
24,475,0,434586.24,6478558.72,434586.96,6478555.5200000005,2259.23,944.6909886309285,1.029,8.461324506452549,ok
25,473,0,434585.4,6478558.08,434589.32,6478556.8,2274.4700000000003,945.7008812516799,1.033,8.106563590057894,ok
26,474,0,434585.96,6478558.08,434589.32,6478556.8,2274.4700000000003,945.1757322319528,1.033,8.868308028545037,ok
27,475,0,434586.24,6478558.72,434589.32,6478556.8,2274.4700000000003,944.6909886309285,1.033,9.01561882249719,ok
29,467,0,434598.2,6478565.12,434592.60000000003,6478558.72,2289.76,931.2554347761928,1.037,8.73128461024881,ok
30,469,0,434598.0,6478565.76,434592.60000000003,6478558.72,2289.76,931.2225985232699,1.037,8.388038866448905,ok
31,470,0,434597.64,6478563.84,434592.60000000003,6478558.72,2289.76,932.223193875995,1.037,8.848474908213563,ok
32,471,0,434597.4,6478565.76,434592.60000000003,6478558.72,2289.76,931.785932497583,,,no_trigger
33,472,0,434596.44,6478567.68,434592.60000000003,6478558.72,2289.76,932.0290467579174,1.037,8.872502192716537,ok
35,467,0,434598.2,6478565.12,434595.84,6478560.0,2305.0,931.2554347761928,1.042,8.735681163496707,ok
36,469,0,434598.0,6478565.76,434595.84,6478560.0,2305.0,931.2225985232699,1.042,8.53559873295449,ok
37,470,0,434597.64,6478563.84,434595.84,6478560.0,2305.0,932.223193875995,1.042,8.092904494111988,ok
38,471,0,434597.4,6478565.76,434595.84,6478560.0,2305.0,931.785932497583,,,no_trigger
39,472,0,434596.44,6478567.68,434595.84,6478560.0,2305.0,932.0290467579174,1.042,8.021132029247873,ok
41,467,0,434598.2,6478565.12,434599.44,6478561.92,2320.2400000000002,931.2554347761928,1.048,8.479756683504988,ok
42,469,0,434598.0,6478565.76,434599.44,6478561.92,2320.2400000000002,931.2225985232699,1.049,8.248992657979556,ok
43,470,0,434597.64,6478563.84,434599.44,6478561.92,2320.2400000000002,932.223193875995,1.048,8.57904428637078,ok
44,471,0,434597.4,6478565.76,434599.44,6478561.92,2320.2400000000002,931.785932497583,,,no_trigger
45,472,0,434596.44,6478567.68,434599.44,6478561.92,2320.2400000000002,932.0290467579174,1.048,8.519667774833547,ok
47,467,0,434598.2,6478565.12,434603.36,6478563.2,2335.48,931.2554347761928,1.057,8.609656463737872,ok
48,469,0,434598.0,6478565.76,434603.36,6478563.2,2335.48,931.2225985232699,1.058,8.35798780841008,ok
49,470,0,434597.64,6478563.84,434603.36,6478563.2,2335.48,932.223193875995,1.057,8.666437609020642,ok
50,471,0,434597.4,6478565.76,434603.36,6478563.2,2335.48,931.785932497583,,,no_trigger
51,472,0,434596.44,6478567.68,434603.36,6478563.2,2335.48,932.0290467579174,1.057,8.62954751385273,ok
52,459,0,434615.36,6478571.5200000005,434607.36,6478565.12,2350.66,912.9410171528067,1.064,8.746554701881921,ok
53,460,0,434614.96,6478571.5200000005,434607.36,6478565.12,2350.66,913.3164822776065,1.064,8.10191930289602,ok
55,462,0,434615.72000000003,6478571.5200000005,434607.36,6478565.12,2350.66,912.603116365447,1.064,8.924908758226826,ok
57,459,0,434615.36,6478571.5200000005,434611.92,6478567.68,2365.9,912.9410171528067,1.069,8.363206567997695,ok
58,460,0,434614.96,6478571.5200000005,434611.92,6478567.68,2365.9,913.3164822776065,1.069,8.719565043747531,ok
60,462,0,434615.72000000003,6478571.5200000005,434611.92,6478567.68,2365.9,912.603116365447,1.069,8.614678474087363,ok
62,459,0,434615.36,6478571.5200000005,434616.72000000003,6478568.96,2381.14,912.9410171528067,1.075,8.509816098049676,ok
63,460,0,434614.96,6478571.5200000005,434616.72000000003,6478568.96,2381.14,913.3164822776065,1.075,8.851673578530335,ok
65,462,0,434615.72000000003,6478571.5200000005,434616.72000000003,6478568.96,2381.14,912.603116365447,1.075,8.739568938245615,ok
67,459,0,434615.36,6478571.5200000005,434621.56,6478570.88,2396.38,912.9410171528067,1.08,8.911978708606751,ok
68,460,0,434614.96,6478571.5200000005,434621.56,6478570.88,2396.38,913.3164822776065,1.08,8.466464458244289,ok
70,462,0,434615.72000000003,6478571.5200000005,434621.56,6478570.88,2396.38,912.603116365447,1.08,8.325523130978889,ok
72,442,0,434636.60000000003,6478581.76,434627.2,6478573.44,2411.66,889.475458908424,1.085,8.794123239524549,ok
73,443,0,434636.76,6478581.76,434627.2,6478573.44,2411.66,889.3251373937399,1.085,8.74732426674376,ok
74,444,0,434637.2,6478581.76,434627.2,6478573.44,2411.66,888.911770650153,1.085,8.616328360697464,ok
75,445,0,434637.52,6478581.76,434627.2,6478573.44,2411.66,888.6111563560175,1.085,8.211380331176088,ok
76,446,0,434637.04000000004,6478581.76,434627.2,6478573.44,2411.66,889.0620828718023,1.085,8.783197021220856,ok
77,442,0,434636.60000000003,6478581.76,434632.8,6478574.72,2426.9,889.475458908424,1.091,8.033190219850535,ok
78,443,0,434636.76,6478581.76,434632.8,6478574.72,2426.9,889.3251373937399,1.091,8.805255683150836,ok
79,444,0,434637.2,6478581.76,434632.8,6478574.72,2426.9,888.911770650153,1.091,8.680734106754159,ok
80,445,0,434637.52,6478581.76,434632.8,6478574.72,2426.9,888.6111563560175,1.091,8.257684944441394,ok
81,446,0,434637.04000000004,6478581.76,434632.8,6478574.72,2426.9,889.0620828718023,1.091,8.049076816185401,ok
82,442,0,434636.60000000003,6478581.76,434638.72000000003,6478578.5600000005,2442.14,889.475458908424,1.096,8.79736924278208,ok
83,443,0,434636.76,6478581.76,434638.72000000003,6478578.5600000005,2442.14,889.3251373937399,1.096,8.745267619075506,ok
84,444,0,434637.2,6478581.76,434638.72000000003,6478578.5600000005,2442.14,888.911770650153,1.096,8.581589985215038,ok
85,445,0,434637.52,6478581.76,434638.72000000003,6478578.5600000005,2442.14,888.6111563560175,1.096,8.1218701072069,ok
86,446,0,434637.04000000004,6478581.76,434638.72000000003,6478578.5600000005,2442.14,889.0620828718023,1.096,8.792434540645994,ok
87,442,0,434636.60000000003,6478581.76,434645.08,6478580.48,2457.38,889.475458908424,1.102,8.604369264462132,ok
88,443,0,434636.76,6478581.76,434645.08,6478580.48,2457.38,889.3251373937399,1.102,8.577667046018005,ok
89,444,0,434637.2,6478581.76,434645.08,6478580.48,2457.38,888.911770650153,1.103,8.4646407023412,ok
90,445,0,434637.52,6478581.76,434645.08,6478580.48,2457.38,888.6111563560175,1.102,8.018064208374698,ok
91,446,0,434637.04000000004,6478581.76,434645.08,6478580.48,2457.38,889.0620828718023,1.102,8.671217860093012,ok
92,430,0,434660.56,6478592.640000001,434651.48,6478583.68,2472.66,863.2405782862144,1.108,8.633055216256793,ok
94,432,0,434661.68,6478592.640000001,434651.48,6478583.68,2472.66,862.1875072163393,,,no_trigger
95,433,0,434661.4,6478593.28,434651.48,6478583.68,2472.66,862.2329782605586,1.108,8.584997213001358,ok
96,434,0,434661.52,6478594.5600000005,434651.48,6478583.68,2472.66,861.6857682472934,1.108,8.843317918683098,ok
97,435,0,434661.92,6478594.5600000005,434651.48,6478583.68,2472.66,861.3094189662532,1.108,8.135522353495281,ok
98,436,0,434661.60000000003,6478593.28,434651.48,6478583.68,2472.66,862.044892566538,1.108,8.69317058759445,ok
99,51,0,434664.76,6478592.640000001,434651.48,6478583.68,2472.67,859.2924345063784,1.104,8.640272729054502,ok
100,52,0,434665.56,6478593.28,434651.48,6478583.68,2472.67,858.321905114925,1.104,8.671860870160153,ok
101,53,0,434664.2,6478592.640000001,434651.48,6478583.68,2472.67,859.8187157767007,1.104,8.057852234361377,ok
102,430,0,434660.56,6478592.640000001,434658.4,6478586.24,2487.9,863.2405782862144,1.113,8.384463754531208,ok
104,432,0,434661.68,6478592.640000001,434658.4,6478586.24,2487.9,862.1875072163393,,,no_trigger
105,433,0,434661.4,6478593.28,434658.4,6478586.24,2487.9,862.2329782605586,1.113,8.322056179590364,ok
106,434,0,434661.52,6478594.5600000005,434658.4,6478586.24,2487.9,861.6857682472934,1.113,8.586749237516846,ok
107,435,0,434661.92,6478594.5600000005,434658.4,6478586.24,2487.9,861.3094189662532,1.113,8.684712971228729,ok
108,436,0,434661.60000000003,6478593.28,434658.4,6478586.24,2487.9,862.044892566538,1.113,8.447217122462352,ok
109,51,0,434664.76,6478592.640000001,434658.4,6478586.24,2487.91,859.2924345063784,1.111,8.12260112008636,ok
110,52,0,434665.56,6478593.28,434658.4,6478586.24,2487.91,858.321905114925,1.111,8.467633335783368,ok
111,53,0,434664.2,6478592.640000001,434658.4,6478586.24,2487.91,859.8187157767007,1.111,8.597875721952901,ok
112,430,0,434660.56,6478592.640000001,434665.52,6478588.8,2503.14,863.2405782862144,1.118,8.679981810515189,ok
114,432,0,434661.68,6478592.640000001,434665.52,6478588.8,2503.14,862.1875072163393,,,no_trigger
115,433,0,434661.4,6478593.28,434665.52,6478588.8,2503.14,862.2329782605586,1.118,8.634216108670316,ok
116,434,0,434661.52,6478594.5600000005,434665.52,6478588.8,2503.14,861.6857682472934,1.118,8.741017496412168,ok
117,435,0,434661.92,6478594.5600000005,434665.52,6478588.8,2503.14,861.3094189662532,1.118,8.12854229526477,ok
118,436,0,434661.60000000003,6478593.28,434665.52,6478588.8,2503.14,862.044892566538,1.118,8.644520467276141,ok
119,51,0,434664.76,6478592.640000001,434665.52,6478588.8,2503.15,859.2924345063784,1.116,8.30407922252138,ok
120,52,0,434665.56,6478593.28,434665.52,6478588.8,2503.15,858.321905114925,1.116,8.21470046831708,ok
121,53,0,434664.2,6478592.640000001,434665.52,6478588.8,2503.15,859.8187157767007,1.116,8.381138608672897,ok
122,430,0,434660.56,6478592.640000001,434672.72000000003,6478592.640000001,2518.38,863.2405782862144,1.12,8.612444519136735,ok
124,432,0,434661.68,6478592.640000001,434672.72000000003,6478592.640000001,2518.38,862.1875072163393,,,no_trigger
125,433,0,434661.4,6478593.28,434672.72000000003,6478592.640000001,2518.38,862.2329782605586,1.121,8.580050605994513,ok
126,434,0,434661.52,6478594.5600000005,434672.72000000003,6478592.640000001,2518.38,861.6857682472934,1.12,8.683542215459982,ok
127,435,0,434661.92,6478594.5600000005,434672.72000000003,6478592.640000001,2518.38,861.3094189662532,1.12,8.739228585253354,ok
128,436,0,434661.60000000003,6478593.28,434672.72000000003,6478592.640000001,2518.38,862.044892566538,1.12,8.640950484316214,ok
129,51,0,434664.76,6478592.640000001,434672.72000000003,6478592.640000001,2518.39,859.2924345063784,1.119,8.578846630524597,ok
130,52,0,434665.56,6478593.28,434672.72000000003,6478592.640000001,2518.39,858.321905114925,1.12,8.496626843720387,ok
131,53,0,434664.2,6478592.640000001,434672.72000000003,6478592.640000001,2518.39,859.8187157767007,1.12,8.721953832420617,ok
132,419,0,434692.64,6478602.88,434680.52,6478595.2,2533.54,829.5915380476686,1.1300000000000001,8.14298199494085,ok
133,420,0,434692.8,6478604.16,434680.52,6478595.2,2533.54,829.0045162724916,1.1300000000000001,8.218936411832395,ok
134,421,0,434693.32,6478604.8,434680.52,6478595.2,2533.54,828.2977976551352,1.1300000000000001,8.16353345732317,ok
135,422,0,434693.36,6478604.8,434680.52,6478595.2,2533.54,828.2601803783518,1.1300000000000001,8.125667376036402,ok
136,423,0,434693.92,6478604.8,434680.52,6478595.2,2533.54,827.7335619632586,1.1300000000000001,8.226816416718275,ok
137,419,0,434692.64,6478602.88,434688.44,6478598.4,2548.78,829.5915380476686,1.1360000000000001,8.623248671685335,ok
138,420,0,434692.8,6478604.16,434688.44,6478598.4,2548.78,829.0045162724916,1.1360000000000001,8.703794564523855,ok
139,421,0,434693.32,6478604.8,434688.44,6478598.4,2548.78,828.2977976551352,1.135,8.014170637581337,ok
140,422,0,434693.36,6478604.8,434688.44,6478598.4,2548.78,828.2601803783518,1.1360000000000001,8.653318747748648,ok
141,423,0,434693.92,6478604.8,434688.44,6478598.4,2548.78,827.7335619632586,1.135,8.021085499450844,ok
142,419,0,434692.64,6478602.88,434696.68,6478602.24,2564.02,829.5915380476686,1.139,8.378572055835125,ok
143,420,0,434692.8,6478604.16,434696.68,6478602.24,2564.02,829.0045162724916,1.139,8.416899191072599,ok
144,421,0,434693.32,6478604.8,434696.68,6478602.24,2564.02,828.2977976551352,1.139,8.575848041082748,ok
145,422,0,434693.36,6478604.8,434696.68,6478602.24,2564.02,828.2601803783518,1.139,8.414863307934814,ok
146,423,0,434693.92,6478604.8,434696.68,6478602.24,2564.02,827.7335619632586,1.139,8.538204706865747,ok
147,419,0,434692.64,6478602.88,434705.60000000003,6478605.44,2579.26,829.5915380476686,1.145,8.203716630616858,ok
148,420,0,434692.8,6478604.16,434705.60000000003,6478605.44,2579.26,829.0045162724916,1.145,8.29908606056556,ok
149,421,0,434693.32,6478604.8,434705.60000000003,6478605.44,2579.26,828.2977976551352,1.145,8.53679309126886,ok
150,422,0,434693.36,6478604.8,434705.60000000003,6478605.44,2579.26,828.2601803783518,1.145,8.313605264362476,ok
151,423,0,434693.92,6478604.8,434705.60000000003,6478605.44,2579.26,827.7335619632586,1.145,8.498339983420859,ok
152,409,0,434728.8,6478619.5200000005,434714.48,6478608.640000001,2594.56,789.9287593194713,1.1480000000000001,8.586776666530357,ok
153,410,0,434728.92,6478618.24,434714.48,6478608.640000001,2594.56,790.2492487817661,1.1480000000000001,8.62688723977128,ok
154,411,0,434728.64,6478618.24,434714.48,6478608.640000001,2594.56,790.5126407592105,1.1480000000000001,8.69561825086533,ok
155,412,0,434727.2,6478617.600000001,434714.48,6478608.640000001,2594.56,792.0843682335386,1.1480000000000001,8.436320693797736,ok
156,413,0,434728.28,6478618.24,434714.48,6478608.640000001,2594.56,790.8513043550474,1.1480000000000001,8.66277068565998,ok
157,409,0,434728.8,6478619.5200000005,434723.4,6478611.84,2609.8,789.9287593194713,1.151,8.674372513718158,ok
158,410,0,434728.92,6478618.24,434723.4,6478611.84,2609.8,790.2492487817661,1.1520000000000001,8.674764462344848,ok
159,411,0,434728.64,6478618.24,434723.4,6478611.84,2609.8,790.5126407592105,1.151,8.00368303175904,ok
160,412,0,434727.2,6478617.600000001,434723.4,6478611.84,2609.8,792.0843682335386,1.1520000000000001,8.538782206246813,ok
161,413,0,434728.28,6478618.24,434723.4,6478611.84,2609.8,790.8513043550474,1.151,8.681312144220051,ok
162,409,0,434728.8,6478619.5200000005,434733.08,6478615.68,2625.04,789.9287593194713,1.155,8.191525616055293,ok
163,410,0,434728.92,6478618.24,434733.08,6478615.68,2625.04,790.2492487817661,1.155,8.149334181847953,ok
164,411,0,434728.64,6478618.24,434733.08,6478615.68,2625.04,790.5126407592105,1.155,8.232032127676346,ok
165,412,0,434727.2,6478617.600000001,434733.08,6478615.68,2625.04,792.0843682335386,1.156,8.11638934741715,ok
166,413,0,434728.28,6478618.24,434733.08,6478615.68,2625.04,790.8513043550474,1.155,8.170336171988351,ok
167,409,0,434728.8,6478619.5200000005,434742.92,6478618.88,2640.28,789.9287593194713,1.158,8.183126983590427,ok
168,410,0,434728.92,6478618.24,434742.92,6478618.88,2640.28,790.2492487817661,1.158,8.158827501189611,ok
169,411,0,434728.64,6478618.24,434742.92,6478618.88,2640.28,790.5126407592105,1.158,8.321966221250387,ok
170,412,0,434727.2,6478617.600000001,434742.92,6478618.88,2640.28,792.0843682335386,1.158,8.200330012947862,ok
171,413,0,434728.28,6478618.24,434742.92,6478618.88,2640.28,790.8513043550474,1.158,8.21966656848895,ok
172,399,0,434770.12,6478632.96,434752.84,6478622.72,2655.43,746.4988273267772,1.161,8.35955348687961,ok
